model,AUC,Accuracy,Precision,Recall,F1
LogisticRegression,0.7157287157287158,0.9433333333333334,0.0,0.0,0.0
GradientBoosting,0.7097429319651543,0.9366666666666666,0.0,0.0,0.0
RandomForest,0.7042114264336486,0.945,0.0,0.0,0.0
MLP,0.6797071241515685,0.92,0.10526315789473684,0.06060606060606061,0.07692307692307693
NaiveBayes,0.6674683341350007,0.9133333333333333,0.047619047619047616,0.030303030303030304,0.037037037037037035
KNN,0.6506600395489284,0.945,0.0,0.0,0.0
SVM_RBF,0.5960130404574849,0.945,0.0,0.0,0.0
